X,Y,standort,anzahl_ladepunkte,ladesaeule_status,adresse,koordinaten,typ,ladepunkt,stecker,status,authmethod_1,authmethod_2
10.163,53.652,"206","2",frei,Kattjahren 4,N53.651913 E10.162925,AC,,Typ2/Schuko,frei,Öffentlich zugänglich,RFID-Karte
9.867,53.568,"639","2",belegt,Heinrich-Plett-Straße 14,N53.567973 E9.866507,AC,,Typ2/Schuko,belegt,Öffentlich zugänglich,RFID-Karte
9.977,53.46,"200","2",frei,Julius-Ludowieg-Straße 23,N53.459600 E9.976730,AC,,Typ2/Schuko,frei,Öffentlich zugänglich,RFID-Karte
9.811,53.559,"455","2",teilweise belegt,Blankeneser Bahnhofstraße 4,N53.558932 E9.811458,AC,,Typ2/Schuko,belegt,Öffentlich zugänglich,RFID-Karte
9.943,53.555,"654","2",frei,Schumacherstraße 109,N53.555139 E9.942609,AC,,Typ2/Schuko,frei,Öffentlich zugänglich,RFID-Karte
9.981,53.552,"532","2",belegt,Rademachergang 20,N53.552130 E9.980700,AC,,Typ2/Schuko,belegt,Öffentlich zugänglich,RFID-Karte
9.997,53.682,"1208","2",teilweise belegt,Am Tarpenufer 10,N53.681500 E9.996710,AC,,Typ2/Schuko,belegt,Öffentlich zugänglich,RFID-Karte
9.988,53.514,"486","2",frei,Mannesallee 28,N53.514290 E9.987890,AC,,Typ2/Schuko,frei,Öffentlich zugänglich,RFID-Karte
10.014,53.576,"494","2",frei,Fährhausstraße 27,N53.575880 E10.013740,AC,,Typ2/Schuko,frei,Öffentlich zugänglich,RFID-Karte
10.006,53.633,"035","3",frei,Flughafenstr. 1,N53.632620 E10.006390,AC,,Typ2,frei,Öffentlich zugänglich,RFID-Karte
10.211,53.484,"079","3",frei,Neuer Weg 62A,N53.483558 E10.211489,AC,,Typ2/Schuko,frei,Öffentlich zugänglich,RFID-Karte
9.791,53.56,"510","2",teilweise belegt,Falkentaler Weg 4,N53.559930 E9.790760,AC,,Typ2/Schuko,frei,Öffentlich zugänglich,RFID-Karte
9.845,53.553,"308","2",teilweise belegt,Nienstedtener Marktplatz 20,N53.552735 E9.844532,AC,,Typ2/Schuko,belegt,Öffentlich zugänglich,RFID-Karte
9.97,53.464,"250","2",frei,Schwarzenbergstraße 95,N53.463805 E9.970200,AC,,Typ2/Schuko,frei,Öffentlich zugänglich,RFID-Karte
9.972,53.46,"452","2",frei,Am Irrgarten 8,N53.460230 E9.971790,AC,,Typ2/Schuko,frei,Öffentlich zugänglich,RFID-Karte
9.967,53.562,"306","2",teilweise belegt,Lagerstraße 32,N53.562469 E9.967275,AC,,Typ2/Schuko,frei,Öffentlich zugänglich,RFID-Karte
9.961,53.441,"499","2",belegt,Binnenfeld 22,N53.441200 E9.960900,AC,,Typ2/Schuko,unbekannt,Öffentlich zugänglich,RFID-Karte
10.075,53.664,"425","2",frei,Langenhorner Straße-Ost 7,N53.663760 E10.074550,AC,,Typ2/Schuko,frei,Öffentlich zugänglich,RFID-Karte
10.016,53.562,"233","2",frei,Schweimlerstraße 1,N53.561661 E10.016461,AC,,Typ2/Schuko,frei,Öffentlich zugänglich,RFID-Karte
9.918,53.549,"395","2",frei,Hohenzollernring 24,N53.548780 E9.917770,AC,,Typ2/Schuko,frei,Öffentlich zugänglich,RFID-Karte
9.945,53.555,"543","2",frei,Warnholtzstraße 7,N53.555330 E9.945310,AC,,Typ2/Schuko,frei,Öffentlich zugänglich,RFID-Karte
9.99,53.456,"318","2",frei,Hannoversche Straße 88,N53.455671 E9.989705,AC,,Typ2/Schuko,frei,Öffentlich zugänglich,RFID-Karte
9.987,53.545,"078","3",belegt,Deichstraße 51,N53.545080 E9.986570,DC,,CHAdeMO,belegt,Öffentlich zugänglich,RFID-Karte
9.988,53.735,"1209","2",teilweise belegt,Beim Umspannwerk 0,N53.734640 E9.987980,AC,,Typ2/Schuko,frei,Öffentlich zugänglich,RFID-Karte
10.203,53.489,"662","2",frei,Kurt-A.-Körber-Chaussee 5,N53.488939 E10.202586,AC,,Typ2/Schuko,frei,Öffentlich zugänglich,RFID-Karte
9.939,53.552,"017","3",frei,Große Bergstraße 262,N53.552100 E9.938640,DC,,CHAdeMO,frei,Öffentlich zugänglich,RFID-Karte
9.998,53.595,"405","2",frei,Alsterdorfer Straße 9,N53.595390 E9.998070,AC,,Typ2/Schuko,frei,Öffentlich zugänglich,RFID-Karte
9.956,53.606,"381","2",teilweise belegt,Niendorfer Straße 64,N53.606070 E9.956170,AC,,Typ2/Schuko,belegt,Öffentlich zugänglich,RFID-Karte
10.064,53.554,"003","3",frei,Hammer Landstraße 204,N53.553948 E10.063607,DC,,CHAdeMO,frei,Öffentlich zugänglich,RFID-Karte
10.065,53.571,"056","3",teilweise belegt,Schloßstraße 8,N53.571140 E10.065180,DC,,CHAdeMO,belegt,Öffentlich zugänglich,RFID-Karte
10.01,53.59,"611","2",frei,Riststraße 3,N53.590368 E10.009969,AC,,Typ2/Schuko,frei,Öffentlich zugänglich,RFID-Karte
9.989,53.578,"617","2",teilweise belegt,Oberstraße 106,N53.577713 E9.989339,AC,,Typ2/Schuko,frei,Öffentlich zugänglich,RFID-Karte
10.006,53.633,"038","3",teilweise belegt,Flughafenstr. 1,N53.632620 E10.006390,DC,,CHAdeMO,unbekannt,Öffentlich zugänglich,RFID-Karte
9.998,53.552,"231","2",teilweise belegt,Alstertor 13,N53.552225 E9.997597,AC,,Typ2/Schuko,belegt,Öffentlich zugänglich,RFID-Karte
10.017,53.553,"468","2",frei,Böckmannstraße 5,N53.553460 E10.017040,AC,,Typ2/Schuko,frei,Öffentlich zugänglich,RFID-Karte
10.014,53.576,"494","2",frei,Fährhausstraße 27,N53.575880 E10.013740,AC,,Typ2/Schuko,frei,Öffentlich zugänglich,RFID-Karte
10.036,53.587,"585","2",belegt,Wiesendamm 51,N53.587465 E10.036253,AC,,Typ2/Schuko,unbekannt,Öffentlich zugänglich,RFID-Karte
9.974,53.574,"581","2",frei,Bogenstraße 34,N53.573570 E9.974200,AC,,Typ2/Schuko,frei,Öffentlich zugänglich,RFID-Karte
10.044,53.592,"284","2",frei,Fuhlsbüttler Straße 149,N53.591820 E10.043950,AC,,Typ2/Schuko,frei,Öffentlich zugänglich,RFID-Karte
9.996,53.56,"253","2",teilweise belegt,Alsterufer 3,N53.559507 E9.996083,AC,,Typ2/Schuko,frei,Öffentlich zugänglich,RFID-Karte
9.985,53.604,"277","2",frei,Borsteler Chaussee 17,N53.604090 E9.984919,AC,,Typ2/Schuko,frei,Öffentlich zugänglich,RFID-Karte
9.987,53.546,"236","2",belegt,Steintwiete 18,N53.546486 E9.986622,AC,,Typ2/Schuko,belegt,Öffentlich zugänglich,RFID-Karte
10.035,53.605,"567","2",belegt,Andreas-Knack-Ring 2,N53.604642 E10.034874,AC,,Typ2/Schuko,belegt,Öffentlich zugänglich,RFID-Karte
9.993,53.539,"904","4",teilweise belegt,Am Strandkai 1,N53.539280 E9.992880,AC,,Typ2/Schuko,frei,Öffentlich zugänglich,RFID-Karte
10.013,53.579,"365","2",frei,Körnerstraße 1,N53.579470 E10.012690,AC,,Typ2/Schuko,frei,Öffentlich zugänglich,RFID-Karte
9.976,53.597,"048","3",belegt,Christoph-Probst-Weg 28,N53.596800 E9.976150,AC,,Typ2/Schuko,belegt,Öffentlich zugänglich,RFID-Karte
9.975,53.549,"025","3",frei,Zeughausmarkt 19,N53.549260 E9.974710,AC,,Typ2/Schuko,frei,Öffentlich zugänglich,RFID-Karte
9.986,53.588,"587","2",frei,Eppendorfer Landstraße 41,N53.588329 E9.985718,AC,,Typ2/Schuko,frei,Öffentlich zugänglich,RFID-Karte
9.967,53.551,"249","2",teilweise belegt,Seilerstraße 16,N53.550520 E9.966698,AC,,Typ2/Schuko,frei,Öffentlich zugänglich,RFID-Karte
9.982,53.463,"273","2",frei,Schlossmühlendamm 23,N53.463009 E9.981628,AC,,Typ2/Schuko,frei,Öffentlich zugänglich,RFID-Karte
10.237,53.674,"9201","2",teilweise belegt,Manfred Samusch Straße 5,N53.673632 E10.236555,AC,,Typ2/Schuko,frei,Öffentlich zugänglich,RFID-Karte
9.969,53.559,"531","2",frei,Laeiszstraße 15,N53.558779 E9.969319,AC,,Typ2/Schuko,frei,Öffentlich zugänglich,RFID-Karte
9.995,53.601,"269","2",frei,Lattenkamp 79,N53.600546 E9.994941,AC,,Typ2/Schuko,frei,Öffentlich zugänglich,RFID-Karte
9.98,53.586,"353","2",belegt,Curschmannstraße 10,N53.585760 E9.979940,AC,,Typ2/Schuko,belegt,Öffentlich zugänglich,RFID-Karte
10.137,53.572,"423","2",frei,Öjendorfer Damm 60,N53.571800 E10.136530,AC,,Typ2/Schuko,frei,Öffentlich zugänglich,RFID-Karte
9.797,53.58,"419","2",frei,Sülldorfer Landstraße 196,N53.580400 E9.797170,AC,,Typ2/Schuko,unbekannt,Öffentlich zugänglich,RFID-Karte
10.094,53.652,"903","4",teilweise belegt,Stormarnplatz 3,N53.651740 E10.094320,AC,,Typ2/Schuko,unbekannt,Öffentlich zugänglich,RFID-Karte
9.919,53.563,"300","2",belegt,Beim Alten Gaswerk 3,N53.563150 E9.918796,AC,,Typ2/Schuko,belegt,Öffentlich zugänglich,RFID-Karte
10.013,53.583,"673","2",teilweise belegt,Peter-Marquard-Straße 13,N53.583348 E10.013078,AC,,Typ2/Schuko,frei,Öffentlich zugänglich,RFID-Karte
9.972,53.585,"569","2",frei,Breitenfelder Straße 16,N53.584900 E9.971780,AC,,Typ2/Schuko,unbekannt,Öffentlich zugänglich,RFID-Karte
10.043,53.54,"357","2",frei,Billhorner Deich 96,N53.539580 E10.042590,AC,,Typ2/Schuko,frei,Öffentlich zugänglich,RFID-Karte
9.985,53.557,"080","3",frei,Drehbahn 13,N53.556520 E9.984960,DC,,CHAdeMO,frei,Öffentlich zugänglich,RFID-Karte
9.976,53.602,"382","2",frei,Nedderfeld 80,N53.601570 E9.975560,AC,,Typ2/Schuko,frei,Öffentlich zugänglich,RFID-Karte
9.926,53.556,"672","2",frei,Borselstraße 7,N53.556224 E9.925645,AC,,Typ2/Schuko,frei,Öffentlich zugänglich,RFID-Karte
9.992,53.591,"568","2",belegt,Kellinghusenstraße 10,N53.590674 E9.992296,AC,,Typ2/Schuko,belegt,Öffentlich zugänglich,RFID-Karte
10.039,53.546,"262","2",teilweise belegt,Ausschläger Weg 100,N53.546401 E10.039314,AC,,Typ2/Schuko,unbekannt,Öffentlich zugänglich,RFID-Karte
10.049,53.568,"303","2",frei,Roßberg 2,N53.567830 E10.049440,AC,,Typ2/Schuko,frei,Öffentlich zugänglich,RFID-Karte
9.955,53.58,"451","2",frei,Lutterothstraße 22,N53.580010 E9.955040,AC,,Typ2/Schuko,frei,Öffentlich zugänglich,RFID-Karte
10.018,53.602,"075","3",teilweise belegt,New-York-Ring 1,N53.602180 E10.018180,AC,,Typ2/Schuko,frei,Öffentlich zugänglich,RFID-Karte
10.056,53.562,"660","2",teilweise belegt,Chateauneufstraße 2,N53.561851 E10.056089,AC,,Typ2/Schuko,belegt,Öffentlich zugänglich,RFID-Karte
10.102,53.598,"036","3",frei,Traberweg 2,N53.597620 E10.101780,DC,,CHAdeMO,frei,Öffentlich zugänglich,RFID-Karte
10.185,53.609,"529","2",frei,Neuer Höltigbaum 6,N53.609470 E10.184680,AC,,Typ2/Schuko,frei,Öffentlich zugänglich,RFID-Karte
9.977,53.553,"270","2",frei,Holstenwall 12A,N53.553342 E9.976922,AC,,Typ2/Schuko,frei,Öffentlich zugänglich,RFID-Karte
10.004,53.6,"434","2",belegt,Fiefstücken 8,N53.599830 E10.003740,AC,,Typ2/Schuko,belegt,Öffentlich zugänglich,RFID-Karte
10.038,53.688,"1206","2",teilweise belegt,Mittelstraße 39,N53.687850 E10.037810,AC,,Typ2/Schuko,frei,Öffentlich zugänglich,RFID-Karte
9.852,53.551,"407","2",frei,Am Internationalen Seegerichtshof 2,N53.551470 E9.852220,AC,,Typ2/Schuko,frei,Öffentlich zugänglich,RFID-Karte
10.114,53.653,"301","2",belegt,Waldweg 4,N53.653350 E10.114020,AC,,Typ2/Schuko,belegt,Öffentlich zugänglich,RFID-Karte
9.931,53.554,"619","2",frei,Hohenesch 50,N53.554339 E9.930795,AC,,Typ2/Schuko,frei,Öffentlich zugänglich,RFID-Karte
9.961,53.572,"287","2",teilweise belegt,Von-der-Tann-Straße 9,N53.571906 E9.960710,AC,,Typ2/Schuko,frei,Öffentlich zugänglich,RFID-Karte
9.964,53.58,"518","2",frei,Gärtnerstraße 86,N53.580240 E9.964100,AC,,Typ2/Schuko,frei,Öffentlich zugänglich,RFID-Karte
10.077,53.579,"578","2",teilweise belegt,Walddörferstraße 110,N53.579440 E10.076880,AC,,Typ2/Schuko,belegt,Öffentlich zugänglich,RFID-Karte
9.993,53.567,"534","2",frei,Heimhuder Straße 38,N53.566752 E9.992543,AC,,Typ2/Schuko,frei,Öffentlich zugänglich,RFID-Karte
10.0,53.586,"561","2",teilweise belegt,Willistraße 11,N53.586140 E9.999740,AC,,Typ2/Schuko,belegt,Öffentlich zugänglich,RFID-Karte
10.052,53.579,"410","2",frei,Dehnhaide 111,N53.579090 E10.051520,AC,,Typ2/Schuko,frei,Öffentlich zugänglich,RFID-Karte
10.033,53.583,"514","2",frei,Schleidenstr. 6,N53.583220 E10.033450,AC,,Typ2/Schuko,unbekannt,Öffentlich zugänglich,RFID-Karte
9.961,53.572,"287","2",teilweise belegt,Von-der-Tann-Straße 9,N53.571906 E9.960710,AC,,Typ2/Schuko,belegt,Öffentlich zugänglich,RFID-Karte
9.976,53.571,"525","2",frei,Kielortallee 1,N53.570630 E9.976050,AC,,Typ2/Schuko,frei,Öffentlich zugänglich,RFID-Karte
9.976,53.572,"449","2",teilweise belegt,Bogenstraße 13,N53.572100 E9.976170,AC,,Typ2/Schuko,belegt,Öffentlich zugänglich,RFID-Karte
9.945,53.547,"576","2",frei,Schleestraße 5,N53.547203 E9.945393,AC,,Typ2/Schuko,frei,Öffentlich zugänglich,RFID-Karte
9.956,53.555,"484","2",frei,Gilbertstraße 63,N53.555000 E9.955720,AC,,Typ2/Schuko,frei,Öffentlich zugänglich,RFID-Karte
9.953,53.578,"016","3",frei,Eichenstraße 90,N53.577910 E9.953320,AC,,Typ2/Schuko,frei,Öffentlich zugänglich,RFID-Karte
9.986,53.466,"627","2",belegt,Veritaskai 3,N53.466260 E9.986480,AC,,Typ2/Schuko,unbekannt,Öffentlich zugänglich,RFID-Karte
10.019,53.548,"630","2",frei,Nagelsweg 33,N53.547560 E10.019214,AC,,Typ2/Schuko,frei,Öffentlich zugänglich,RFID-Karte
10.016,53.572,"653","2",belegt,Hofweg 44,N53.572004 E10.016098,AC,,Typ2/Schuko,belegt,Öffentlich zugänglich,RFID-Karte
10.008,53.705,"1207","2",teilweise belegt,Marktplatz 8,N53.704650 E10.008260,AC,,Typ2/Schuko,frei,Öffentlich zugänglich,RFID-Karte
9.919,53.565,"015","3",belegt,Bornkampsweg 17,N53.565450 E9.918530,DC,,CHAdeMO,belegt,Öffentlich zugänglich,RFID-Karte
10.048,53.569,"661","2",frei,Schellingstraße 23,N53.569286 E10.047905,AC,,Typ2/Schuko,frei,Öffentlich zugänglich,RFID-Karte
9.997,53.731,"1214","2",teilweise belegt,Pestalozzistraße 1,N53.731500 E9.996610,AC,,Typ2/Schuko,frei,Öffentlich zugänglich,RFID-Karte
9.98,53.683,"1215","2",teilweise belegt,Achternfelde 5,N53.682600 E9.979680,AC,,Typ2/Schuko,frei,Öffentlich zugänglich,RFID-Karte
10.008,53.554,"208","2",teilweise belegt,Heidi-Kabel-Platz 1,N53.554492 E10.007712,AC,,Typ2/Schuko,unbekannt,Öffentlich zugänglich,RFID-Karte
9.991,53.557,"478","2",frei,Fehlandtstraße 6,N53.556980 E9.991480,AC,,Typ2/Schuko,frei,Öffentlich zugänglich,RFID-Karte
9.919,53.565,"015","3",belegt,Bornkampsweg 17,N53.565450 E9.918530,AC,,Typ2,belegt,Öffentlich zugänglich,RFID-Karte
10.24,53.677,"9204","2",teilweise belegt,Am Alten Markt 12,N53.677218 E10.239538,AC,,Typ2/Schuko,frei,Öffentlich zugänglich,RFID-Karte
9.978,53.548,"081","3",teilweise belegt,Englische Planke 16,N53.547800 E9.978130,AC,,Typ2/Schuko,frei,Öffentlich zugänglich,RFID-Karte
9.951,53.619,"077","3",teilweise belegt,Tibarg 24,N53.618960 E9.951220,AC,,Typ2/Schuko,unbekannt,Öffentlich zugänglich,RFID-Karte
9.99,53.573,"043","3",teilweise belegt,Hallerstraße 85,N53.572810 E9.990070,AC,,Typ2/Schuko,frei,Öffentlich zugänglich,RFID-Karte
9.991,53.605,"384","2",frei,Orchideenstieg 14,N53.605270 E9.990560,AC,,Typ2/Schuko,frei,Öffentlich zugänglich,RFID-Karte
10.017,53.586,"586","2",frei,Semperstraße 43,N53.586203 E10.016561,AC,,Typ2/Schuko,unbekannt,Öffentlich zugänglich,RFID-Karte
9.919,53.632,"674","2",frei,Wählingsallee 15,N53.631516 E9.918798,AC,,Typ2/Schuko,frei,Öffentlich zugänglich,RFID-Karte
9.982,53.579,"387","2",frei,Innocentiastraße 58,N53.579210 E9.982310,AC,,Typ2/Schuko,unbekannt,Öffentlich zugänglich,RFID-Karte
10.079,53.581,"066","3",frei,Auf dem Königslande 51,N53.581100 E10.079390,DC,,CHAdeMO,frei,Öffentlich zugänglich,RFID-Karte
